,source,id,price,area,rooms,floor,storeys,building_type,condition,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,latitude,longitude
275,bars,4-3-1358,179000,91.0,3.0,4.0,7.0,Other,Good Condition,2.0,0,0,0,1,1,1,0,1,44.491346750379165,40.19366433254226
277,bars,1-N-338,250000,90.0,3.0,4.0,11.0,Other,Good Condition,1.0,0,0,0,0,0,1,0,1,44.51181945133735,40.183313571671
278,bars,1-A-113,500000,146.0,4.0,3.0,6.0,Other,Needs Renovation/Repair,2.0,1,0,1,0,1,0,0,1,44.50523170804844,40.19493042144863
279,bars,1-3-2088,800000,143.4,4.0,5.0,5.0,Other,Good Condition,3.0,0,0,0,1,0,0,0,0,44.525275644939626,40.18489525304254
280,bars,4-3-1353,120000,91.0,3.0,2.0,9.0,Panel,Needs Renovation/Repair,1.0,0,0,0,0,0,1,0,1,44.4972968,40.20489739999999
281,bars,4-2-188,255000,65.0,2.0,5.0,5.0,Other,Good Condition,1.0,0,0,0,1,1,1,0,0,44.52473536231635,40.20625843913501
282,bars,4-2-187,120000,55.0,2.0,5.0,5.0,Stone,Good Condition,1.0,0,0,0,1,1,1,0,0,44.4972968,40.20489739999999
283,bars,4-2-186,125000,55.0,2.0,4.0,5.0,Stone,Good Condition,1.0,0,0,0,1,1,1,0,0,44.4972968,40.20489739999999
284,bars,4-3-1208,190000,94.0,3.0,6.0,6.0,Other,Good Condition,1.0,0,0,0,0,1,1,0,1,44.52473536231635,40.20625843913501
285,bars,4-3-1354,260000,112.0,3.0,10.0,12.0,Other,Good Condition,1.0,0,0,0,0,0,1,0,1,44.50824234549154,40.20230021885149
286,bars,1-N-348,270000,135.0,3.0,4.0,9.0,Other,Needs Renovation/Repair,2.0,0,0,0,0,1,1,0,1,44.5247969,40.17890785
287,bars,4-3-1357,162000,76.0,3.0,4.0,14.0,Other,Good Condition,1.0,0,0,0,0,1,1,0,1,44.499155086504345,40.19562050194883
288,bars,4-3-1352,330000,108.8,3.0,5.0,5.0,Stone,Good Condition,1.0,0,0,0,0,0,0,0,0,44.520265311668524,40.1995721688172
289,bars,4-3-1350,170000,82.5,3.0,5.0,5.0,Stone,Good Condition,1.0,0,1,0,1,0,1,0,0,44.52473536231635,40.20625843913501
290,bars,4-3--1349,150000,70.0,3.0,5.0,5.0,Stone,Good Condition,1.0,0,0,0,0,0,0,0,0,44.49844424700246,40.19994302020931
291,bars,4-3-1027,120000,87.5,3.0,1.0,10.0,Panel,Good Condition,2.0,0,0,0,0,0,1,0,1,44.509269992836,40.20967865714541
292,bars,4-3-1247,200000,76.0,3.0,2.0,5.0,Stone,Needs Renovation/Repair,1.0,0,0,0,0,0,1,0,0,44.499155086504345,40.19562050194883
293,bars,4-3-1256,285000,101.0,3.0,7.0,18.0,Other,Good Condition,2.0,0,1,1,1,0,1,0,1,44.55827345658594,40.199176396159615
294,bars,1-3-2087,133000,55.0,2.0,5.0,5.0,Stone,Good Condition,1.0,0,0,0,0,1,1,0,0,44.47752986786994,40.21777640245817
295,bars,4-3-1348,204000,73.6,3.0,3.0,8.0,Other,Good Condition,2.0,0,1,1,0,1,1,0,1,44.55827345658594,40.199176396159615
296,bars,4-3-1347,240000,72.0,3.0,3.0,4.0,Stone,Good Condition,1.0,0,1,0,0,0,1,0,0,44.52473536231635,40.20625843913501
297,bars,1-N-163,600000,215.0,4.0,9.0,12.0,Other,Good Condition,3.0,0,0,1,0,1,1,0,1,44.50449735,40.1832187
299,bars,1-N-414,330000,135.0,3.0,3.0,4.0,Other,Good Condition,2.0,0,0,0,1,1,1,0,1,44.499472776670245,40.180107053322125
300,bars,1-B-124,680000,140.0,4.0,3.0,17.0,Other,Good Condition,2.0,0,0,1,0,1,0,0,1,44.51863665459219,40.17606564344017
301,bars,1-B-67,220000,68.0,3.0,2.0,7.0,Other,Good Condition,1.0,0,0,0,1,0,1,0,1,44.55827345658594,40.199176396159615
302,bars,1-T-1,1400000,260.1,4.0,6.0,12.0,Other,Good Condition,3.0,0,1,1,0,1,1,0,1,44.52381655212627,40.19066524195801
303,bars,1-B-120,255000,58.0,2.0,15.0,13.0,Other,Good Condition,1.0,0,0,0,1,0,1,0,1,44.51863665459219,40.17606564344017
304,bars,1-3-2086,390000,113.0,4.0,2.0,5.0,Other,Other,2.0,0,1,0,1,1,1,0,0,44.519048808509375,40.177015330930764
305,bars,4-3-282,270000,110.0,3.0,5.0,7.0,Other,Good Condition,2.0,0,0,1,1,1,1,0,0,44.50472122504243,40.19100870974382
306,bars,1-T-5,1100000,192.14,4.0,10.0,12.0,Other,Good Condition,3.0,0,1,0,0,1,1,0,1,44.52381655212627,40.19066524195801
307,bars,1-N-387,460000,120.0,3.0,9.0,10.0,Other,Good Condition,2.0,0,1,0,0,0,1,0,1,44.52381655212627,40.19066524195801
308,bars,1-A-112,160000,58.0,2.0,2.0,7.0,Other,Good Condition,1.0,0,0,0,0,1,1,0,1,44.50523170804844,40.19493042144863
309,bars,1-A-101,380000,132.0,3.0,5.0,5.0,Other,Good Condition,2.0,0,1,0,1,1,1,0,1,44.51228432718437,40.19590302536037
310,bars,6-D3-200,113000,70.0,2.0,14.0,18.0,Other,Needs Renovation/Repair,1.0,1,0,0,0,1,0,0,1,44.49532827557046,40.21935278444905
311,bars,4-2-118,200000,59.0,2.0,12.0,16.0,Other,Needs Renovation/Repair,1.0,1,0,0,0,1,0,0,1,44.49082633472604,40.19822318396341
312,bars,4-2-185,200000,61.0,2.0,5.0,11.0,Other,Good Condition,1.0,0,1,0,0,1,1,0,1,44.4972968,40.20489739999999
313,bars,6-D4-98,320000,138.0,4.0,2.0,5.0,Other,Good Condition,2.0,0,0,0,0,0,1,0,1,44.4701813882256,40.21611126911036
314,bars,1-B-119,900000,142.0,3.0,14.0,3.0,Other,Good Condition,2.0,0,0,0,1,0,1,0,1,44.51863665459219,40.17606564344017
315,bars,1-3-2058,255000,92.0,3.0,9.0,11.0,Panel,Good Condition,2.0,0,1,0,1,1,1,0,1,44.51166722152143,40.182206184659805
316,bars,1-3-2083,470000,90.0,3.0,3.0,6.0,Other,Needs Renovation/Repair,1.0,0,0,0,1,1,0,0,0,44.5215976,40.18607885
317,bars,1-2-974,300000,69.0,2.0,10.0,11.0,Panel,Good Condition,2.0,0,0,0,1,0,0,0,1,44.50449735,40.1832187
318,bars,1-2-968,259000,39.0,2.0,8.0,15.0,Other,Good Condition,1.0,0,1,0,0,1,1,0,1,44.55827345658594,40.199176396159615
319,bars,1-B-116,315000,63.0,2.0,9.0,14.0,Other,Good Condition,1.0,0,0,1,1,0,1,0,1,44.55827345658594,40.199176396159615
320,bars,1-3-2085,370000,93.0,3.0,2.0,9.0,Stone,Good Condition,1.0,0,0,0,0,0,0,0,1,44.514048989347714,40.1861605885798
321,bars,1-2-970,165000,80.0,2.0,2.0,9.0,Panel,Good Condition,1.0,0,0,0,0,0,0,0,0,44.583870697678144,40.21673211791397
322,bars,4-3-1345,550000,376.0,5.0,17.0,17.0,Other,Good Condition,3.0,0,0,0,1,1,1,0,1,44.50603348930943,40.19194689069822
323,bars,4-3-1150,250000,105.0,3.0,10.0,18.0,Other,Good Condition,2.0,0,1,0,0,0,1,0,1,44.55827345658594,40.199176396159615
324,bars,1-2-969,330000,75.0,2.0,5.0,18.0,Other,Good Condition,1.0,0,0,0,0,0,0,0,0,44.5074118246583,40.184754985885355
325,bars,1-N-395,250000,112.0,4.0,4.0,13.0,Other,Good Condition,2.0,0,0,0,0,1,1,0,1,44.5273774,40.17699785
326,bars,1-N-109,550000,120.0,3.0,8.0,14.0,Other,Good Condition,2.0,0,0,1,0,1,1,0,1,44.51863665459219,40.17606564344017
327,bars,1-N-405,430000,130.0,3.0,7.0,4.0,Other,Good Condition,2.0,0,0,1,1,1,1,0,1,44.505052000470215,40.183781674798254
328,bars,1-N-274,900000,225.8,5.0,6.0,15.0,Other,Good Condition,4.0,0,0,0,0,0,0,0,0,44.51642634119875,40.18161375666288
329,bars,1-3-2080,900000,320.0,7.0,5.0,4.0,Other,Needs Renovation/Repair,4.0,0,0,0,1,1,1,0,0,44.51808492499669,40.187096641397815
330,bars,1-A-98,430000,105.0,4.0,2.0,6.0,Other,Good Condition,1.0,0,1,0,1,1,1,0,1,44.50523170804844,40.19493042144863
331,bars,1-A-110,306000,190.0,5.0,2.0,3.0,Other,Needs Renovation/Repair,2.0,1,0,0,0,0,0,0,0,44.51228432718437,40.19590302536037
332,bars,1-N-396,430000,121.0,3.0,5.0,5.0,Other,Good Condition,2.0,0,1,0,0,1,1,0,1,44.583870697678144,40.21673211791397
333,bars,4-3-1288,275000,154.0,4.0,10.0,14.0,Other,Good Condition,2.0,0,1,0,0,1,1,0,1,44.509269992836,40.20967865714541
334,bars,1-N-12,640000,194.0,5.0,7.0,9.0,Other,Good Condition,2.0,0,0,1,1,1,1,0,1,44.51181945133735,40.183313571671
335,bars,4-2-167,150000,62.0,2.0,3.0,6.0,Other,Good Condition,1.0,0,1,0,1,1,1,0,1,44.48842560030741,40.19502146089586
336,bars,1-3-1954,300000,106.0,4.0,3.0,4.0,Other,Good Condition,1.0,0,0,0,0,1,0,0,0,44.50603348930943,40.19194689069822
337,bars,1-N-265,1000000,145.0,3.0,8.0,14.0,Other,Good Condition,2.0,0,0,1,1,1,1,0,1,44.51642634119875,40.18161375666288
338,bars,4-3-95,200000,104.0,4.0,4.0,7.0,Other,Needs Renovation/Repair,2.0,0,0,0,1,0,1,0,1,44.50603348930943,40.19194689069822
339,bars,4-3-1336,430000,165.0,5.0,11.0,17.0,Other,Good Condition,1.0,0,0,0,1,1,1,0,1,44.50603348930943,40.19194689069822
340,bars,6-D3-199,156000,78.0,3.0,9.0,12.0,Other,Good Condition,1.0,0,1,0,0,1,1,0,1,44.4567380668362,40.166016462777485
341,bars,1-3-1976,185000,130.0,4.0,4.0,5.0,Stone,Good Condition,2.0,0,0,0,0,1,1,0,0,44.5055185,40.185361400000005
342,bars,4-3-1218,250000,92.0,3.0,7.0,12.0,Other,Good Condition,1.0,0,1,0,1,1,1,0,1,44.52141545745753,40.160291821818525
343,bars,4-3-1111,250000,165.0,5.0,3.0,5.0,Stone,Good Condition,3.0,0,0,0,0,1,0,0,0,44.49978402004816,40.19794363418706
344,bars,4-3-329,450000,178.9,4.0,2.0,4.0,Other,Good Condition,2.0,0,0,0,1,0,1,0,0,44.497928566324596,40.203858779099114
345,bars,4-3-658,125000,135.0,4.0,7.0,8.0,Panel,Good Condition,3.0,0,0,0,0,1,0,0,1,44.49857435,40.209585149999995
346,bars,4-3-936,65000,98.5,4.0,2.0,9.0,Panel,Good Condition,2.0,0,0,0,0,0,1,0,0,44.536055686499054,40.21881726936828
347,bars,1-2-933,120000,63.0,2.0,12.0,14.0,Other,Good Condition,1.0,0,1,0,0,1,1,0,1,44.50409202665325,40.17429211194108
348,bars,6-NM-3,105000,92.0,4.0,2.0,3.0,Stone,Good Condition,1.0,0,1,0,0,1,1,0,0,44.552282393219535,40.19046429667407
349,bars,1-B-115,286000,67.0,2.0,9.0,10.0,Other,Good Condition,2.0,0,0,0,1,0,1,0,1,44.51863665459219,40.17606564344017
350,bars,6-D3-178,85000,72.0,3.0,9.0,9.0,Panel,Needs Renovation/Repair,1.0,0,0,0,0,0,0,0,1,44.47752986786994,40.21777640245817
351,bars,6-Z-117,125000,67.0,2.0,13.0,15.0,Other,Good Condition,1.0,0,0,0,0,1,1,0,1,44.54016340378585,40.204839367697545
352,bars,4-3-1141.1,170000,109.0,4.0,3.0,7.0,Other,Needs Renovation/Repair,1.0,0,0,0,0,1,0,0,0,44.4672332201912,40.19625664909909
353,bars,2-3-72,150000,87.0,3.0,4.0,4.0,Other,Good Condition,1.0,0,1,0,0,0,1,0,0,44.521708950000004,40.16713265
354,bars,1-3-1990,470000,200.0,4.0,1.0,3.0,Other,Good Condition,1.0,0,1,0,1,1,1,1,0,44.512115310889925,40.18645225816211
355,bars,4-3-1333,165000,100.0,3.0,3.0,4.0,Other,Good Condition,1.0,0,1,0,0,0,0,0,0,44.5046635,40.21198605
356,bars,1-3-1943,500000,145.0,6.0,2.0,5.0,Other,Needs Renovation/Repair,3.0,0,0,0,0,0,0,0,0,44.50603348930943,40.19194689069822
357,bars,1-3-2077,250000,110.0,3.0,3.0,4.0,Other,Needs Renovation/Repair,2.0,0,0,0,0,0,0,0,0,44.517821617617976,40.177431841441944
358,bars,4-3-1341,185000,74.0,3.0,15.0,16.0,Other,Good Condition,1.0,0,1,0,0,1,1,0,1,44.51413593557797,40.210664400899944
359,bars,4-3-1339,160000,96.3,3.0,3.0,12.0,Other,Needs Renovation/Repair,2.0,1,0,0,0,0,0,0,1,44.52733885,40.20019725
360,bars,4-3-1338,118000,78.0,3.0,1.0,5.0,Stone,Needs Renovation/Repair,1.0,0,0,0,0,0,1,0,0,44.49857435,40.209585149999995
361,bars,1-3-2076,275000,90.0,3.0,3.0,5.0,Stone,Good Condition,1.0,0,0,0,0,1,1,0,0,44.5180200101794,40.18203709652422
362,bars,1-N-400,370000,98.0,6.0,7.0,12.0,Other,Good Condition,2.0,0,0,0,0,0,1,0,1,44.51642634119875,40.18161375666288
363,bars,1-T-8,1250000,197.0,5.0,5.0,12.0,Other,Good Condition,2.0,0,1,0,1,1,1,0,1,44.52381655212627,40.19066524195801
364,bars,1-3-2035,375000,133.0,4.0,2.0,3.0,Stone,Good Condition,2.0,0,0,0,0,1,1,0,0,44.5215976,40.18607885
365,bars,2-3-168,145000,90.0,3.0,3.0,5.0,Stone,Good Condition,1.0,0,0,0,0,0,1,0,0,44.51344849450384,40.1767382062846
366,bars,v,200000,86.0,3.0,14.0,14.0,Other,Good Condition,1.0,0,0,0,0,1,1,0,1,44.50409202665325,40.17429211194108
367,bars,1-N-379,185000,135.0,4.0,4.0,12.0,Other,Good Condition,2.0,0,0,0,0,0,1,0,1,44.5247969,40.17890785
368,bars,1-N-394,145000,79.0,3.0,5.0,5.0,Other,Good Condition,2.0,0,1,0,1,0,1,0,0,44.5180200101794,40.18203709652422
369,bars,1-N-367,390000,178.0,4.0,12.0,14.0,Other,Good Condition,3.0,0,1,0,0,1,1,0,1,44.50409202665325,40.17429211194108
370,bars,2-2-275,75000,46.0,2.0,2.0,9.0,Panel,Needs Renovation/Repair,1.0,0,0,0,0,0,0,0,1,44.51344849450384,40.1767382062846
371,bars,6-Ts3-78,290000,115.0,3.0,5.0,13.0,Other,Good Condition,2.0,0,1,0,0,1,1,0,1,44.482691873318714,40.181589956787796
372,bars,1-3-2074,185000,85.0,3.0,8.0,9.0,Panel,Needs Renovation/Repair,1.0,0,0,0,0,1,0,0,1,44.51181945133735,40.183313571671
373,bars,1-3-2073,183000,81.0,3.0,8.0,10.0,Monolit,Needs Renovation/Repair,1.0,0,0,0,1,0,0,0,1,44.525275644939626,40.18489525304254
374,bars,1-3-2072,280000,102.0,4.0,4.0,4.0,Stone,Good Condition,1.0,0,1,0,0,1,1,0,0,44.5273774,40.17699785
375,bars,1-3-1903,145000,92.5,3.0,6.0,6.0,Other,Needs Renovation/Repair,1.0,0,0,0,0,0,0,0,1,44.45609932611657,40.15477242139723
376,bars,1-1-436,140000,40.0,1.0,11.0,11.0,Panel,Good Condition,1.0,0,0,0,1,0,1,0,1,44.505052000470215,40.183781674798254
377,bars,1-A-106,245000,75.0,2.0,2.0,5.0,Other,Good Condition,1.0,0,1,0,0,0,0,0,1,44.51228432718437,40.19590302536037
378,bars,1-B-111,600000,133.0,4.0,11.0,14.0,Other,Needs Renovation/Repair,2.0,0,0,0,0,1,0,0,1,44.51863665459219,40.17606564344017
379,bars,2-3-167,330000,130.0,4.0,5.0,10.0,Other,Good Condition,2.0,0,0,0,0,1,1,0,1,44.51811462379455,40.166993360178346
380,bars,2-3-90,152000,96.0,3.0,8.0,9.0,Panel,Good Condition,1.0,0,1,0,1,0,1,0,1,44.519038948459674,40.17136765837956
381,bars,2-2-252,110000,49.0,2.0,1.0,5.0,Stone,Good Condition,1.0,0,1,0,0,1,1,0,0,44.519038948459674,40.17136765837956
382,bars,4-3-1331,125000,96.0,3.0,7.0,9.0,Panel,Needs Renovation/Repair,1.0,0,0,0,0,0,0,0,1,44.49091100920923,40.204181641463855
383,bars,1-A-104,358000,121.0,3.0,3.0,6.0,Other,Good Condition,2.0,0,1,0,0,1,1,0,1,44.51228432718437,40.19590302536037
384,bars,2-2-277,182000,84.0,2.0,18.0,21.0,Other,Good Condition,2.0,0,0,0,1,1,1,0,1,44.482691873318714,40.181589956787796
385,bars,1-1-352,80000,32.0,1.0,5.0,5.0,Other,Other,1.0,0,0,0,0,0,0,0,0,44.52311939810804,40.18877081913275
386,bars,1-3-2069,765000,170.0,5.0,5.0,6.0,Other,Good Condition,3.0,0,1,0,1,1,1,0,0,44.517821617617976,40.177431841441944
387,bars,4-3-1337,200000,120.0,4.0,3.0,5.0,Stone,Good Condition,1.0,0,1,0,0,1,1,0,0,44.49857435,40.209585149999995
388,bars,1-S-53,850000,196.0,2.0,10.0,13.0,Other,Good Condition,3.0,0,0,0,0,1,1,0,1,44.434781436092,40.141653987919995
389,bars,1-A-102,350000,100.0,3.0,4.0,5.0,Other,Good Condition,2.0,0,1,0,0,1,1,0,1,44.51228432718437,40.19590302536037
390,bars,4-2-170,150000,70.0,2.0,10.0,15.0,Other,Needs Renovation/Repair,1.0,1,0,0,0,1,0,0,0,44.51413593557797,40.210664400899944
391,bars,1-2-972,250000,44.6,2.0,7.0,18.0,Other,Good Condition,1.0,0,1,0,1,1,1,0,1,44.51166722152143,40.182206184659805
392,bars,4-3-1327,180000,95.0,3.0,7.0,13.0,Other,Needs Renovation/Repair,2.0,1,0,0,0,1,1,0,0,44.5046635,40.21198605
393,bars,4-3-1334,185000,100.0,3.0,2.0,14.0,Other,Needs Renovation/Repair,2.0,1,0,0,0,1,0,0,1,44.5046635,40.21198605
394,bars,1-A-103,190000,93.0,3.0,5.0,6.0,Other,Needs Renovation/Repair,2.0,1,0,0,0,1,0,0,1,44.51228432718437,40.19590302536037
395,bars,1-3-2068,639000,213.0,6.0,4.0,5.0,Other,Needs Renovation/Repair,2.0,0,0,0,0,0,0,0,0,44.51808492499669,40.187096641397815
396,bars,6-Z3-194,324000,240.0,4.0,9.0,9.0,Other,Needs Renovation/Repair,3.0,0,0,1,0,1,0,0,1,44.54340269291652,40.19862324605405
397,bars,2-3-165,165000,106.0,3.0,2.0,15.0,Other,Good Condition,2.0,0,1,0,1,0,1,0,1,44.50409202665325,40.17429211194108
398,bars,3-Mal-47,205000,101.0,3.0,13.0,17.0,Other,Needs Renovation/Repair,2.0,1,0,0,1,0,1,0,1,44.5902935,40.18955105
399,bars,6-M2-212,90000,80.0,3.0,1.0,9.0,Stone,Good Condition,1.0,0,0,0,0,0,1,0,1,44.57111460185527,40.2061998983339
400,bars,4-3-1329,160000,90.0,3.0,4.0,14.0,Other,Needs Renovation/Repair,2.0,0,0,0,0,0,0,0,1,44.497928566324596,40.203858779099114
401,bars,4-3-1330,155000,80.0,3.0,5.0,14.0,Other,Needs Renovation/Repair,2.0,1,0,0,0,1,0,0,1,44.48257217096905,40.20346679579425
402,bars,1-A-83,360000,116.6,3.0,1.0,7.0,Other,Good Condition,2.0,0,1,1,1,1,1,0,1,44.50523170804844,40.19493042144863
403,bars,4-3-1328,168000,100.0,3.0,8.0,14.0,Other,Good Condition,2.0,0,0,0,0,1,0,0,1,44.5046635,40.21198605
404,bars,4-3-1276,378000,158.0,4.0,12.0,15.0,Other,Good Condition,3.0,0,1,0,0,1,1,0,1,44.499155086504345,40.19562050194883
405,bars,1-3-2066,745000,149.0,4.0,3.0,3.0,Other,Good Condition,2.0,0,0,0,0,0,0,0,0,44.5776738850503,40.217118108862934
406,bars,1-3-2065,370000,200.0,4.0,3.0,3.0,Stone,Good Condition,3.0,0,0,0,0,0,1,0,0,44.5180200101794,40.18203709652422
407,bars,1-N-320,350000,75.0,3.0,6.0,10.0,Other,Good Condition,1.0,0,0,0,0,0,0,0,0,44.525275644939626,40.18489525304254
408,bars,1-B-96,280000,73.0,3.0,3.0,10.0,Other,Good Condition,2.0,0,0,0,0,1,1,0,1,44.51863665459219,40.17606564344017
409,bars,1-N-185,320000,210.0,4.0,5.0,7.0,Other,Good Condition,3.0,0,1,0,1,1,1,0,0,44.50948029563954,40.17885352616499
410,bars,1-N-98,1100000,417.0,7.0,5.0,6.0,Other,Good Condition,2.0,0,1,1,1,1,1,0,1,44.50948029563954,40.17885352616499
411,bars,1-N-304,400000,178.0,3.0,13.0,21.0,Other,Good Condition,2.0,0,0,0,0,0,0,0,0,44.519048808509375,40.177015330930764
